joke,how,why
今天去中关村修电脑，等的时候一个男的进来说要买摄像头，老板就给他拿了一个，他拿着摄像头，逗老板大概1岁半的孩子，举着摄像头让孩子亲他一下，说不然就把他家东西拿走，说着就假装向外走，老板以为闹玩，也没在意，然后，这货就拿这摄像头真走了…… 老板一会才缓过来，追出去早没人了,其他,意外出糗
"一位病人去找心理医生说：“大夫，我该怎么办呀，我最好的朋友跟我的太太一起跑了。” 医生：“哦，我也为你感到难受。” “是的，我太难受了，因为……我非常想念我的朋友啊。
",桥界推论,意想不到的答案
爷爷：A，你爷爷多大岁数了？ A：我爷爷他去世了…… 爷爷：哦……74了……那你奶奶呢？ A： 我奶奶也去世了。 爷爷：哦……他俩还同岁啊…… 我们家其他孩子们狂笑，A憋得满脸通红，爷爷一脸茫然…,⽂字游戏,搞错重点或是误会情节
"奶奶陪着孙媳妇逛街，孙媳妇打算找一家金店买些首饰。 当她们来到一家店铺门前时，奶奶非得拉着孙媳妇进去。 孙媳妇笑着对奶奶解释：“奶奶，买首饰得去金店，不是五金店！
",⽂字游戏,搞错重点或是误会情节
"老师去家访，一进门看见他的学生正在抽烟，师生一时都愣住了，不知说什么好。 家长一见，忙责备孩子：光知道自个儿抽，也不快给老师点上一支
",桥界推论,搞错重点或是误会情节
今天在单位游泳池游泳，看到两4.5岁左右小孩， 一正太一萝莉，萝莉她爸游走了她在那喊救命， 正太'奋不顾身游过去费劲拉了半天把萝莉拉到边上， 到岸边正太说了一句话，把我们笑到了，他问萝莉：“你应该怎么谢我？” 萝莉说：“有前途，小伙子！,0,0
"「我们女儿练声乐嗓子大有进步。」萧克太太对朋友说。「是音色提高了吗？」「我说得主要是音量。以前只有这一层楼的人来告状，现在附近几幢楼的住户都来诉苦了。」
",禁忌\秘密揭露,另有含义
"甲﹕「昨天一个小虫子落到我老婆眼里﹐花掉了我三十块钱。」乙﹕「那有什么！前天一个皮大衣落到了我老婆眼里﹐结果花掉了我三千块钱。」
",类比,意想不到的答案
"有一位父亲，担心即将嫁人的女儿被老公欺负，在女儿的新婚之夜，嘱咐女儿：「行房时，如果感觉很痛，妳就赶快叫爹；如果感觉很爽，就唱兰花草。」到了洞房花烛夜，父亲很紧张的倚在门边，仔细聆听著。结果他听到：「爹爹爹爹爹，爹爹爹爹爹.....................」仔细一听，她的女儿是用兰花草的曲调哼著。
",桥界推论,另有含义
"上周末我去做头发，洗头、按摩、剪发、烫头，一阵折腾，好几个小时，有些无聊，便和按摩的那个女孩聊起来，女孩问我：姐姐是做什么的？ 我回答说：我是做媒体的。 那女孩一听我是做媒体的，很是兴奋，对我说：是吗？这么巧！我原来也是做媒体的。 我看看女孩，有些不敢相信：你也是做媒体的？报纸还是杂志？ 那女孩听了我的话，很困惑地看着我说：就是美体啊！美丽身体的‘美体’啊…
",⽂字游戏,搞错重点或是误会情节
初中时，我旁边坐的一漂亮妹妹，上课无聊道：“把别人写给你的情书给我看看，以后用的着的。” 她还没答话。前面一个追求她的男生掉过头：“别人给她写的你看什么！” 一起骂道：“我们2个说话关你屁事。” 后面看前面男生的情书我笑哭了…,0,0
"“究竟什么才能使你离开被窝？美色还是美食？”“我的膀胱。”
",禁忌\秘密揭露,意想不到的答案
"二战过后的一次表彰会上，一位记者访问一个战争中的英雄。 问：您作战如此勇敢，请问您作战的勇气来源是什么？ 答：我们的长官发给我们一人一件世上最先进的防弹衣。 (奇怪地)：那为什么你们连全军覆没，而你也中了重伤呢？ (要哭了)答：因为在此之前，我们不知道那只是一件破棉袄…
",禁忌\秘密揭露,搞错重点或是误会情节
"吃过晚饭在客厅看报纸，问老婆：「你洗碗了吗？」老婆严肃的说：「老公，你应该这样问，『宝贝，我去帮你洗碗吧！』」然后我再说：「老公，已经洗好了。这样显著多好......」于是，我：「宝贝，我去帮你洗碗吧！」老婆：「恩，去吧。」
",桥界推论,意想不到的答案
"维埃里的儿子对维埃里说：爸爸我以后也要当你那样的足球明星！ 维埃里伤心的对儿子说：不，儿子！你长大了还是当一名裁判吧，因为再精彩的进球如果被判成越位的话也只能认倒霉
",禁忌\秘密揭露,意想不到的答案
"殡葬时儿子写了篇悼词：老爸，昨天你两眼还像二饼，今天就成了二条,不知东南西北风哪个么鸡把您害了！您的追悼会开得很隆重，清一色尽是您的麻友，大家排成一条龙与您告别，每人给您献上一杠上花。您一生都想发财结果仍是白板，今到火葬场,您终于糊了
",⽂字游戏,另有含义
"那天我在家看电视，电视里说的是小孩遇到危险怎样处理的事情。于是，我就想考考两岁的儿子。 我装作晕倒的样子，看他怎么办。“妈妈，妈妈，你怎么了？” 儿子喊着，并用手掰了掰我的眼，“妈妈，你真的死了吗？” 然后等了好一会，没听见动静。透过眯缝的眼，我看到儿子在数我钱包里的钱
",桥界推论,荒诞或是愚蠢的行径\话语\情况
张大千20岁时曾做过3个月的和尚。一天乘摆渡过河，船至河心，才知道渡资要4个铜板，可是他身上只有3个铜板，于是要求船家把渡资减少一个铜板，算做布施。不想船家非但不肯施舍，反而把他的袈裟扯破。 后来张大千谈起此事说：既然没有了袈裟，只好还俗回家，既然还了俗，就索性结婚吧！ 幸亏他遇到那位船家，要不然他现在怎会有15个儿女,夸张,意想不到的答案
"新上任的县令是山东人，因为要挂帐子，他对师爷说：“你给我去买两根竹竿来。” 师爷把山东腔的“竹竿”听成了“猪肝”，连忙答应着，急急地跑到肉店去，对店主说：“新来的县太爷要买两个猪肝，你是明白人，心里该有数吧！” 店主是个聪明人，一听就懂了，马上割了两个猪肝，另外奉送了一副猪耳朵。 离开肉铺后，师爷心想：“老爷叫我买的是猪肝，这猪耳朵当然是我的了……”于是便将猎耳包好，塞进口袋里。回到县衙，向知县禀道：“回禀太爷，猪肝买来了！” 知县见师爷买回的是猪肝，生气道：“你的耳朵哪里去了！” 师爷一听，吓得面如土色，慌忙答道：“耳……耳朵……在……在我……我的口袋里！
",⽂字游戏,搞错重点或是误会情节
"小亨利的姑姑来到他家做客，见到亨利，对他说：“亨利，我想送一件礼物给你，让你高兴高兴！” “太谢谢了！姑姑。”亨利回答。 “不过，给你礼物之前，我要问问你的考试成绩如何。” “得了吧！”亨利说，“如果你是真心让我高兴，就别问我的成绩。
",桥界推论,另有含义
"一日，一架飞机飞过一个精神病医院。 突见驾驶员大笑。 空中小姐很好奇的问：你为何笑得那么开心啊？？ 只见他说：他们知道我逃出来，一定会气疯的…哈哈哈…
",桥界推论,意想不到的答案
"新婚妻子问号称精算师的丈夫：你说，我在什么季节怀孕最好？ 这还用问，丈夫不假思索，当然大热天挺着肚子最合算！ 妻子：是否便于我行动？ 丈夫：最大的好处在于里里外外的孕装能省许多钱
",职业病描述,荒诞或是愚蠢的行径\话语\情况
"小时候，爸爸教育我说：“中国的的男女比例是107:101，如果不好好读书,你就是那个‘6’！ “长大了，我考上了清华，发现清华的男女比例是7:1，我还是那个“6“!",类比,另有含义
"小孙女对爷爷说：「爷爷，我长大以后一定会孝顺您的！」爷爷说：「等你长大以后，爷爷都不知道还在不在。」小孙女说：「爷爷您一定还在，因为妈妈说您是老不死的。」
",禁忌\秘密揭露,意想不到的答案
813路公交换了空调车。刚才车上一妹子开心地打电话：“老公，813路换成空调车啦，可凉快了！咱们不用买车啦！”全车人瞬间与妹子同乐。,夸张,另有含义
"大年三十，芳芳的爸爸挂年画。他挂好第一张后，便叫芳芳从后面看他挂第二张是否与第一张平齐。为讨吉利，他叮嘱芳芳说：我要是挂高了，你就说发财，我要是挂低了，你就说健康。 当他把画挂好后，芳芳左看右看都一样齐，于是报告说：爸，不发财，也不健康
",讽刺,另有含义
"一日， 在网吧一男士，想在网吧使用u盘，可怎么也找不到插口。 于是大喊，老板怎么没有插的地方呀！ 漂亮的女老板听到后，笑着说只有我这个可以插，别的机都不行 说插在什么地方，前面还是后面 女老板说随你便，前后都可以插 可是男士还是没有成功，焦急的说，还是插不进去呀！怎么办？ 女老板说开始时都这样，不好插，插插就容易了，你再试试？ 男士又试着插了一会，不过还是没有成功。 于是想换个网吧。 女老板突然叫住他你还没有交钱呢！ 男士一楞，说没插进去还要什么钱？ 女老板不甘示弱说上了就得给钱，一共半个小时，交钱！！！
",⽂字游戏,另有含义
有两个嗜酒如命的人。有一天，两人相邀去喝酒，却发现两人身上加起来的钱只有200余元。其中一个人对另一人说：「没关系，看我的。」他们到了一家7-11买了两条热狗，将热狗分别塞在自己的裤裆里，然后进了酒店大喝特喝。喝到差不多的时后，他们就互相跳到对方的裤档，吸吮起热狗。酒店酒保看到就生气的对他们吼：「滚出去！不要在我店里干这种肮脏下流龌𫜬的事！！」他们就用这种方法一连喝了八家。其中一人对另一人说：「今天喝的我好累！」另一人说：「我才累呢！我的热狗在第二家的时候就掉了！」,禁忌\秘密揭露,意想不到的答案
"在车站上一个双手提著行李的丈夫苦恼地望著刚刚开走的火车，表情无奈地责备妻子：「如果你稍微少花些时间打扮，我们就不会误了这班车子。」「是呀！」他的太太回答，「如果你不催促我这样厉害，我们就不需要花这样长的时间来等下一班车了。」
",类比,另有含义
"一个穷人去吃面，到店中问老板说：清汤要钱吗？ 老板说：不用钱。 穷人说：那我要一碗清汤。 老板当然不想端给他，便答：清汤一碗二十元。 穷人便说：那来一碗汤面吧！顺便给我一个碗。 老板于是照做。 穷人便把汤倒入碗中，答：汤还你，退我二十元
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
今早地铁上听到一个男性跟旁边的女性朋友炫耀说：“10年之后，至少我能知道我的孩子姓什么，你就杯具了，还是未知数呢！” 那女同学回句：“但是我的孩子肯定是我的孩子，你的孩子就未必了。” 那男的直接被秒杀了…,桥界推论,另有含义
"老师：我真不明白，提第埃，你一向是我最得意的学生，样样第一。可是半个月以来，你忽然一塌糊涂，什么功课都不行了。到底是怎么一回事呢？ 提第埃：很简单，老师，现在是爸爸跟不上了
",桥界推论,另有含义
"某日，我们高中数学老师跟我们讲函数周期表时，讲到周期二字时激动地走下讲台，对着全班同学说：你们还不了解周期啊，真的是猪都比你们聪明些。然后他指着第一排的一个女生说：你知道什么是周期吗？你跟他们解释一下。 全班均晕倒
",桥界推论,另有含义
"大杨整天吹吹呼呼满世界没有他不知道的事，那天儿子和几个同学在一起写作业，提起滥竽充数的成语。 大杨跟孩子们解释说：有一大户人家去鱼行买鱼，由于要的鱼多，鱼行没有那么多的鲜鱼，但又舍不得放弃这宗生意，于是就把那些死鱼、烂鱼放在下面充当好鱼一块卖了，于是就有了“烂鱼充数”的成语
",⽂字游戏,不懂装懂
"有一对夫妇外出旅游，回到家门口，丈夫一摸口袋，叫道：“哎呀，我把大门钥匙弄丢了！” 妻子不满地说：“我就知道你们大老爷们粗心，这不，我出门时特意藏了一把。” 丈夫如释重负地嘘口气道：“太好了，快拿出来开门吧。” “但我把它藏在屋里的抽屉里了。
",类比,荒诞或是愚蠢的行径\话语\情况
今儿去买鞋 ，一美女在试一双过膝长靴（膝盖往上10厘米）其实挺好看的 ，但美女貌似有点挑剔 ，想想这问问那的。 最后问店员 ：“还有再长的吗？” 犀利的店员呐 ，蹦出一句：“再长就是皮裤了……,桥界推论,意想不到的答案
"有个画像师给人刚画完一张肖像，就给那人说：您把这张像拿到人多的地方问问，看画得像不像？ 那人说：好吧。他向碰见的第一个人问道：你看这幅像，哪一处最像我？答道：方巾最像。他向碰见的第二个人也这么问，那人说：衣服最像。等碰见第三个人，画师暗中对那人说：方巾衣服，都有人说过，您不要再说了，您只说说形体像不像？第三个人端详了半天，说：胡须最像
",讽刺,另有含义
都23岁了，小王还还没找到女朋友。这可把小王的家里人急坏了。 堂哥对小王说：“你怎么还不找女朋友呀？” 小王不高兴说：“你以为那么容易找呀！” 堂哥说：“等你找了女朋友后你会有什么反应？” 小王说：“等我找到女朋友，我第一时间就是抽他两巴掌，我得问问，这些年你TMD躲哪里去了。,桥界推论,意想不到的答案
"有位男士打电话到警察局说：『警官先生，我家隔壁大楼有位小姐裸露身体。』? 警官说：『先生，我们马上就到。』（五分钟后，这位警官到达现场） 警官问：『在哪里？先生』? 男士说：『就在这里，警官。她仍然我行我素，毫无羞耻地裸露着』 警官问：『到底在那里？先生，我并未看到任何裸体女了』? 男士说：『你必须使用望远镜才能看到她
",夸张,荒诞或是愚蠢的行径\话语\情况
"喂，是医生吗？请您快点来我家，我儿子把我的袖珍钢笔吞下去了！ 好吧，我马上就来。 医生，在你来之前，我该怎么办？ 您可以让他先用铅笔写字嘛
",禁忌\秘密揭露,意想不到的答案
"有一天，一位医生去教堂向神父告解医生说：「神父啊！我做了一件不可原谅的事。我和我的患者，发生不该有的事，我们之间有了超友谊的关系！」神父说：「没关系，既然你肯来告解，就表示你肯悔改，神会原谅你的！」医生说：「神不会原谅我的啦！」神父问：「为什么？」医生答：「因为我是个兽医──」
",无逻辑和矛盾,意想不到的答案
"女朋友不小心把给家人的短信发到了我手机上， 内容是：“爸妈你们别再找我了，保重身体， 儿子现在过得很好。” 看完我惊得一句话都说不出来了， 原来她，根本不是孤儿
",无逻辑和矛盾,另有含义
"女儿发烧，我和老公带她去医院。医生说，打针好的快。 女儿一听就哭，看着后面排队的病号，老公强行把她摁住。 那位三十多的男医生赶紧扎针。 女儿一面回头看看她爸和医生，哭着说，“你们男人真是没一个好东西。
",羞辱,意想不到的答案
"题目：其中小朋友写：我的其中一只左脚受伤了。老师评语：你是蜈蚣？~~
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"有天小明很饿就到了图书馆问管理员：「请问这里有卖卡拉鸡腿堡吗？」管理员回说：「不好意思，这里是图书馆欸」于是小明说：「请问这里有卖卡拉鸡腿堡吗？（小声）」
",桥界推论,搞错重点或是误会情节
"小娟：妈妈，这钱给您。 妈妈：这么说你寄信没贴邮票？ 小娟：不要紧，我趁邮局的人不注意，偷偷把信投邮筒里了
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"有个人买了一只鹦鹉，想教它学会文明用语。于是每天早晨经过它时都说：「早安。」话说这天早上他精神不太好，经过它时什么也没说，鸟儿冷冷地瞪著他说：「喂，你今天怎么没跟我请安？」
",无逻辑和矛盾,意想不到的答案
"有一个妙龄女子搭上了一艘船准备去南方渡假。当她在甲板上一个人独自吹著海风时有一个抢匪趁她不注意时拿著刀子架住了她：「把你所有的钱交出来　不然的话就把妳搞完丢下海！」女子回答：「可是我没有睪丸啊..」
",⽂字游戏,搞错重点或是误会情节
"南部一所天主教女子学校，修女老师非常注重生活教育，所以特别注重培养淑女气质，规定高年级女生都必需穿丝袜。也许天气太热，许多同学常偷懒不穿丝袜。 一天朝会时，资深的院长亲自检查服装仪容，对一名女同学说：你今天穿的丝袜颜色太深了。 女同学尴尬的回答：报告院长，我今天没穿丝袜
",夸张,搞错重点或是误会情节
"四岁的儿子听儿童歌曲《小龙人》，当唱到：“我头上有犄角，我身后有尾巴，谁也不知道我有多少‘秘密’。”时，儿子大声说了句：“爸爸，我有两个咪咪！
",⽂字游戏,另有含义
"一位白手起家的大亨正在夸耀他成功的秘诀。 他说：本人平时有一个理论，那就是薪水是工作中最不重要的一个环节。全心全意工作，以达到个人能力的巅峰，所带来的满足感比金钱更大。 记者问：你就是记自己深信了这点后才发家致富的吗？ 不，我是让为我工作的员工深信不疑后发家致富的
",禁忌\秘密揭露,意想不到的答案
"有个人好些天睡不着觉，他拖着疲倦的身子走到医生的办公室。医生对他说：你得学会松驰。今晚不要数羊了，叫身体的积各个部位进入睡眠，从头到脚尚未进行完，你就会睡着的。 他回到家里，心想，不妨试一试这个新法儿。当晚上上床以后他说道：头，睡吧。脖子，睡吧。肩膀，睡吧。。。快说完了，这时他妻子穿着一件新睡衣走了进来。那人大声说道：都给我醒来
",桥界推论,另有含义
"阮阮买苹果，问到：“苹果甜吗？” 卖家说：“甜！” 阮阮又问：“苹果脆吗？” 卖家答到：“方圆几里我家的苹果最脆了！” 阮阮大笑到：“那就好，那给我来二斤梨！！
",无逻辑和矛盾,意想不到的答案
"一天朋友聚会在给他爸打电话。打完后放下电话，另一个朋友问，你爸挂了？那个朋友也没想，点点头，恩，挂了。另一个又问了一遍 你爸真挂了？那个朋友反应过来了，艹，你爸才挂了！
",⽂字游戏,搞错重点或是误会情节
"有一对夫妇去相面，卜者看了看丈夫说：你将来会因突然破产，引起心脏病死亡。 妻子哀求说：先生，你能不能帮他改改命？ 卜者又看了看丈夫：好吧，我想办法改成因突然发财，引起心脏病死亡
",桥界推论,搞错重点或是误会情节
"叔叔是旧车商。有一天，一位老太太来买车，看了几辆不同牌子的车。她并不开车试试，只要了钥匙，扭开汽车上的收音机，按按选电台的按钮。她见我叔叔一脸迷惑的神情，就解释说：「我对汽车懂得不多，但是可以从收音机看出汽车的好坏。如果播的音乐是摇滚乐，就可以想见这辆汽车以前一定开得很猛。我只买专听古典音乐或轻音乐的汽车─这十七年来，从未买过一辆坏车。」
",讽刺,意想不到的答案
"﻿乙：我开‘洋货店的。 甲：为何不卖国货？ 乙：我卖的并非外国货，全是国货，只因生意不好，不能赚钱，倒养几个伙计，所以叫‘养伙店’
",⽂字游戏,另有含义
"中国高官团出访泰国。迎宾美女接待齐喊：「欢迎贪官，色情服务！」官员们面如土灰。翻译见状忙解释：「她们刚学中国话，舌头不灵活，实际说的是：欢迎参观，热情服务！」
",⽂字游戏,另有含义
"一个男人去看心理医生：医生,我实在受不了了！我太太对我不忠，她几乎每天晚上都去宅东东酒吧找男人。事实上，她与任何想上她的男人睡觉，我快要疯了！我该怎么办？ 放轻松点！医生说：深呼吸，不要太激动。好,现在告诉我,这个宅东东酒吧到底在哪
",桥界推论,另有含义
"有天有个牙签走在路上，迎面而来，看到一个刺猬，结果牙签就说：「喔～公车来了。」
",转化,意想不到的答案
"物理学家、天文学家和数学家走在苏格兰高原上，碰巧看到一只黑色的羊。「啊！」天文学家说道：「原来苏格兰的羊是黑色的。」「得了吧，仅凭一次观察你可不能这么说。」物理学家道：「你只能说那只黑色的羊是在苏格兰发现的。」「也不对。」数学家道：「由这次观察你只能说，在这一时刻，这只羊，从我们观察的角度看过去，有一侧表面上是黑色的。」
",职业病描述,其他
"在天堂报到处一名天使问一个可以上天堂的男人：「你为什么宁愿下地狱也不要来天堂呢？」男子：「因为我老婆在天堂」
",桥界推论,另有含义
"蒂姆家里来了一位年轻漂亮的女客人。 妈妈对小安东说：“来，小乖乖，去亲一下阿姨。” 小安东拒绝道：“不行。爸爸在走廊上也想亲一下她，结果挨了一记响亮的耳光。
",禁忌\秘密揭露,意想不到的答案
"初中文艺晚会，抢答题环节。 女主持：大家注意了，不要抢的太快。等我说完开始再举手。 然后开始念题目，说：现在开…… 这时候，一个选手就抢答了。 主持人就说这位同学太着急了一点。我‘始’（屎）还在口里，你怎么就抢了。 全场暴笑
",⽂字游戏,另有含义
"洋相士对来看相的男子说：「看来你是个怕老婆的。」那人说：「我还没结婚呢。」相士说道：「这就对了，如果你不怕老婆，为什么还不结婚？」
",桥界推论,另有含义
"国际大明星在拍一部动作电影，由于动作幅度太大，这位大明星撞到旁边的一棵树晕了过去。 他的经纪大喊道：“我的树啊！” 导演问：“那棵树是你的吗？” 经纪人悲痛欲绝地说：“我的摇钱树啊！……就这样晕了……
",⽂字游戏,另有含义
"宿舍有一个腐女，她的愿望是大一找一个男朋友，大二再找一个。等到大三的时候，让这两个男人幸福快乐的在一起……
",桥界推论,意想不到的答案
"甲：请问一下医院怎么走？乙：很简单，你现在闭著眼睛，走到马路正中央，然后停一下，大约十分钟之后就到了。
",桥界推论,意想不到的答案
"报选择题答案的时候，为了区分“B”和“D”，都用“BOY”和“DOG”代替。 一日，小宝问小周：“第七道选什么？我是BOY！” 小周看了看回答：“我是DOG！
",⽂字游戏,另有含义
"孩子正考虑有关「遗传与环境」的问题。母亲插话道：「这个问题很严肃，大家都知道，如果孩子像父亲，那就是遗传；像邻居，那就是环境。」
",桥界推论,另有含义
"给我一个女人，我就能创造出一个民族！回复：给你一头母猪，明年的肉价就能下跌吗？
",类比,另有含义
"一天，一个男人到未婚妻家玩。晚上临走时下起了大雨，未婚妻劝他留下过夜，说完便去准备被褥。未婚妻准备就绪却发现未婚夫不见了。 过了好久，全身淋的像只落汤鸡似的他回来了。 未婚妻吃惊的问：你跑哪儿去了？ 他上气不接下气的回答：我，我回家拿睡衣去了
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"下班途中，顺道买块香鸡排回家充饥。老板娘是一位亲切的少妇，熟练的将油锅中各种食材炸得香脆。等待时，一对五六岁的小兄弟走进来，用稚嫩的童声大喊：「老板娘！我要三十元的薯条，分成三份喔！」老板娘不解地问：「你们才两个人，为什么要分成三份？」较年长的孩子说：「因为我妈妈也要吃！」周围的顾客不禁泛起激赏的微笑，佩服两兄弟年纪小却有如此孝心..不料那孩子却接著说：「若装成一包，妈妈会吃很快！」
",禁忌\秘密揭露,意想不到的答案
"小明要在家烤蛋糕，用牛奶打一点奶油，结果机器就坏掉了，他就想说直接用手打，可是怎么打就打不起来，结果牛奶就对小明说：「你休想用这个打发我！」
",⽂字游戏,另有含义
"农夫和学者同乘一舟,航行在河中.闲着无聊,决定做猜迷游戏。二人决定,如果学者输了,就付十元给农夫,反之则付五元，农夫道：什么东西在河里重500斤而在岸上仅十斤？ 学者苦思不得,遂付给农夫十元。转问农夫谜底,农夫道：我也不知道,并找还给学者五元。学者愕然",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"与人争执时退一步海阔天空追求女友时退一步人去楼空
",禁忌\秘密揭露,另有含义
"和交往4年的女朋友分手了，昏天黑地地上了双层大巴，旁边坐个美女也提不起兴趣打量！售票员过来卖票，我以为是空调车就递过去两块，售票员看了我们两个一眼就撕给我两张一块钱的票。 我楞了一下，懒得解释，继续头靠窗户回忆我四年的感情，不知不觉泪流满面！美女突然说话了：就一块钱,至于吗",夸张,搞错重点或是误会情节
小林在一家银行大厅里负责处理转账业务，每天要接待很多人，而且有一些人总把他这儿当做咨询处，弄得小林不胜其烦，于是小林做了个“非咨询处”的牌子放在桌子上，心想：这样总该好些了吧？ 不料第2天开门，每个前来咨询的人都先走到小林的桌前，问道：“请问咨询处在哪儿？,桥界推论,另有含义
"问：有一只小鸡要出门，牠跟老鸡说了一句话，老鸡听见了很生气，打了小鸡一巴掌。你知道小鸡说了什么话嘛？答：就是..........老鸡Bye
",⽂字游戏,另有含义
"某人第一次见到大海，感叹道：“大海啊！母亲！”话音刚落，一个浪头打过来，正好打在他的脸上，此人怒道：“我靠！还他****是个后妈
",⽂字游戏,意外出糗
"小明和小军两人在一起讨论奥运会比赛 小明：“伦敦奥运会目前裁判最公正的项目就是射击。” 小军：“为什么？” 小明：“可能是因为选手手里都有枪。
",禁忌\秘密揭露,另有含义
私人恩怨！和老张头说好了今早在公园约架，跟我pk太极拳，6：30决战假山之巅。早到的我跟公园管理员小孟说，7点再开门，果然老张头失约了，等着身败名裂吧。这年头，没关系没后台，拿什么混江湖，哼！,其他,意想不到的答案
"一个女人在医院的升降机里分娩，觉得非常难为情。护士小姐安慰她：""没有关系的，这不算什么，两年前有一位太太在医院大门口就生下了小孩子。"" 不料这妇人竟哭起来：""那也是我啊。
",禁忌\秘密揭露,意想不到的答案